    6.6875 MB /   1.41 sec =   39.8806 Mbps
    2.8125 MB /   0.60 sec =   39.6211 Mbps
    4.8125 MB /   1.00 sec =   40.2624 Mbps
    5.2500 MB /   1.12 sec =   39.3981 Mbps
    4.2500 MB /   0.88 sec =   40.4024 Mbps
    5.3750 MB /   1.12 sec =   40.2267 Mbps
    4.1875 MB /   0.88 sec =   40.0774 Mbps
    6.3125 MB /   1.33 sec =   39.8207 Mbps
    3.2500 MB /   0.68 sec =   40.2942 Mbps
    5.6250 MB /   1.19 sec =   39.7851 Mbps
    3.8750 MB /   0.81 sec =   40.3247 Mbps
    4.7500 MB /   1.00 sec =   39.7512 Mbps
    4.8125 MB /   1.00 sec =   40.4763 Mbps
    4.7500 MB /   1.00 sec =   39.7981 Mbps
    8.8125 MB /   1.85 sec =   40.0488 Mbps
    0.6875 MB /   0.15 sec =   37.8150 Mbps
    8.6250 MB /   1.80 sec =   40.1124 Mbps
    0.9375 MB /   0.20 sec =   39.5150 Mbps
    4.7500 MB /   1.00 sec =   39.8396 Mbps
    4.8125 MB /   1.00 sec =   40.3236 Mbps
    4.8125 MB /   1.01 sec =   39.9149 Mbps
    7.5000 MB /   1.58 sec =   39.8606 Mbps
    1.9375 MB /   0.41 sec =   39.4678 Mbps
    5.4375 MB /   1.14 sec =   40.0488 Mbps
    4.1250 MB /   0.86 sec =   40.2644 Mbps
    5.3125 MB /   1.11 sec =   40.0924 Mbps
    7.1250 MB /   1.51 sec =   39.5928 Mbps
    4.4375 MB /   0.93 sec =   40.1774 Mbps
    2.4375 MB /   0.50 sec =   40.5340 Mbps
    5.8125 MB /   1.23 sec =   39.7166 Mbps
    3.3125 MB /   0.72 sec =   38.6414 Mbps
    4.9375 MB /   1.00 sec =   41.3803 Mbps
   10.6250 MB /   2.23 sec =   40.0544 Mbps
    3.6875 MB /   0.77 sec =   40.0475 Mbps
    5.1875 MB /   1.09 sec =   39.9204 Mbps
    4.3125 MB /   0.91 sec =   39.7692 Mbps
    4.8125 MB /   1.00 sec =   40.3358 Mbps
    4.7500 MB /   1.00 sec =   39.8826 Mbps
    7.0000 MB /   1.46 sec =   40.1574 Mbps
    2.5000 MB /   0.54 sec =   38.9181 Mbps
    4.8125 MB /   1.00 sec =   40.3485 Mbps
    4.7500 MB /   1.00 sec =   39.9143 Mbps
    4.7500 MB /   1.00 sec =   39.8829 Mbps
    4.8125 MB /   1.00 sec =   40.3734 Mbps
    4.8125 MB /   1.01 sec =   40.1021 Mbps
   10.1250 MB /   2.12 sec =   40.0258 Mbps
    4.8750 MB /   1.02 sec =   40.0985 Mbps
    4.0625 MB /   0.87 sec =   39.3411 Mbps
    4.6250 MB /   0.99 sec =   39.3502 Mbps
    4.9375 MB /   1.01 sec =   41.0277 Mbps
    8.9375 MB /   1.88 sec =   39.8525 Mbps
    0.5625 MB /   0.11 sec =   41.3843 Mbps
    6.3750 MB /   1.34 sec =   40.0350 Mbps
    3.1875 MB /   0.67 sec =   39.8912 Mbps
    5.1250 MB /   1.16 sec =   37.2038 Mbps
    4.3750 MB /   0.94 sec =   39.1737 Mbps
    4.3750 MB /   0.91 sec =   40.2717 Mbps
    5.1250 MB /   0.99 sec =   43.3009 Mbps
    4.8750 MB /   1.00 sec =   40.7515 Mbps
    7.1875 MB /   1.51 sec =   39.9346 Mbps
    3.5625 MB /   0.75 sec =   39.6126 Mbps
    3.5000 MB /   0.73 sec =   40.3874 Mbps
    7.2500 MB /   1.52 sec =   39.9922 Mbps
    2.2500 MB /   0.48 sec =   39.6011 Mbps
    4.7500 MB /   1.00 sec =   39.8068 Mbps
    5.8125 MB /   1.21 sec =   40.4246 Mbps
    3.7500 MB /   0.79 sec =   39.6640 Mbps
    6.1875 MB /   1.30 sec =   39.9014 Mbps
    3.3750 MB /   0.70 sec =   40.3271 Mbps
    4.7500 MB /   1.00 sec =   39.9460 Mbps
    4.8125 MB /   1.01 sec =   40.0376 Mbps
    6.1250 MB /   1.31 sec =   39.1219 Mbps
    3.6875 MB /   0.74 sec =   41.6023 Mbps
    6.2500 MB /   1.31 sec =   39.9080 Mbps
    3.4375 MB /   0.72 sec =   40.0518 Mbps
    6.9375 MB /   1.46 sec =   39.9333 Mbps
    2.0000 MB /   0.44 sec =   37.8205 Mbps
    4.8750 MB /   1.00 sec =   40.9110 Mbps
    4.7500 MB /   1.00 sec =   39.8052 Mbps
    4.8125 MB /   1.00 sec =   40.3856 Mbps
    4.6875 MB /   1.00 sec =   39.3155 Mbps
    4.8125 MB /   1.00 sec =   40.3469 Mbps
    4.8125 MB /   1.00 sec =   40.4214 Mbps
    4.7500 MB /   1.00 sec =   39.8242 Mbps
    5.0625 MB /   1.06 sec =   40.0002 Mbps
    4.5000 MB /   0.95 sec =   39.7343 Mbps
    4.7500 MB /   0.99 sec =   40.2836 Mbps
    4.6875 MB /   1.00 sec =   39.2879 Mbps
    5.1250 MB /   1.06 sec =   40.4772 Mbps
    4.5000 MB /   0.94 sec =   40.3474 Mbps
