   10.4375 MB /   2.25 sec =   38.9761 Mbps
   10.9375 MB /   2.31 sec =   39.7298 Mbps
    2.6250 MB /   0.51 sec =   42.9950 Mbps
    4.7500 MB /   1.03 sec =   38.5069 Mbps
   26.6250 MB /   5.54 sec =   40.2846 Mbps
   28.4375 MB /   5.94 sec =   40.1651 Mbps
    2.0000 MB /   0.42 sec =   40.3596 Mbps
    4.7500 MB /   1.00 sec =   39.8370 Mbps
    4.8125 MB /   1.00 sec =   40.2611 Mbps
    4.7500 MB /   1.00 sec =   39.8396 Mbps
    6.0000 MB /   1.26 sec =   39.9533 Mbps
    3.8125 MB /   0.80 sec =   39.9908 Mbps
    4.5000 MB /   0.94 sec =   40.2346 Mbps
    5.6250 MB /   1.18 sec =   40.0121 Mbps
    3.8750 MB /   0.82 sec =   39.6325 Mbps
    4.8125 MB /   1.00 sec =   40.2875 Mbps
    4.7500 MB /   1.00 sec =   39.8374 Mbps
    4.7500 MB /   1.00 sec =   39.9545 Mbps
    4.8125 MB /   1.00 sec =   40.3232 Mbps
    4.7500 MB /   1.00 sec =   39.9167 Mbps
    4.7500 MB /   1.00 sec =   39.8754 Mbps
    4.8125 MB /   1.01 sec =   39.8360 Mbps
    5.9375 MB /   1.25 sec =   39.9557 Mbps
    4.0625 MB /   0.84 sec =   40.3439 Mbps
    4.3125 MB /   0.90 sec =   40.1212 Mbps
    4.7500 MB /   1.00 sec =   39.9967 Mbps
    4.7500 MB /   1.00 sec =   39.8386 Mbps
    4.7500 MB /   1.00 sec =   39.8738 Mbps
    6.8125 MB /   1.43 sec =   39.9574 Mbps
    3.9375 MB /   0.83 sec =   39.8582 Mbps
    3.5625 MB /   0.74 sec =   40.2411 Mbps
    4.7500 MB /   1.00 sec =   39.9571 Mbps
    4.8125 MB /   1.00 sec =   40.3625 Mbps
    4.7500 MB /   1.00 sec =   39.8349 Mbps
    4.8125 MB /   1.01 sec =   40.0583 Mbps
    8.8750 MB /   1.86 sec =   39.9899 Mbps
    0.6250 MB /   0.13 sec =   40.2793 Mbps
    4.7500 MB /   1.00 sec =   39.6651 Mbps
    4.7500 MB /   1.00 sec =   40.0410 Mbps
    4.8125 MB /   1.00 sec =   40.3521 Mbps
    4.7500 MB /   1.00 sec =   39.8396 Mbps
    4.8125 MB /   1.00 sec =   40.2077 Mbps
    4.6875 MB /   1.00 sec =   39.4988 Mbps
    4.8125 MB /   1.00 sec =   40.3678 Mbps
    4.7500 MB /   1.01 sec =   39.5405 Mbps
    4.7500 MB /   0.99 sec =   40.1001 Mbps
    4.7500 MB /   1.00 sec =   39.8782 Mbps
    4.8125 MB /   1.00 sec =   40.3620 Mbps
    4.7500 MB /   1.00 sec =   39.8377 Mbps
    4.8125 MB /   1.01 sec =   40.0619 Mbps
    6.1250 MB /   1.28 sec =   39.9966 Mbps
    3.3750 MB /   0.71 sec =   39.9891 Mbps
    5.9375 MB /   1.24 sec =   40.0107 Mbps
    3.5625 MB /   0.75 sec =   39.6646 Mbps
    5.9375 MB /   1.23 sec =   40.4990 Mbps
    4.1250 MB /   0.87 sec =   39.7637 Mbps
    4.3125 MB /   0.90 sec =   39.9950 Mbps
    4.9375 MB /   1.03 sec =   40.1675 Mbps
    4.6250 MB /   0.98 sec =   39.5853 Mbps
    4.6875 MB /   0.99 sec =   39.8222 Mbps
    4.8125 MB /   1.00 sec =   40.3685 Mbps
    4.7500 MB /   1.00 sec =   39.9055 Mbps
    4.8125 MB /   1.01 sec =   40.1158 Mbps
    4.7500 MB /   0.99 sec =   40.0709 Mbps
    5.2500 MB /   1.10 sec =   40.1915 Mbps
    4.2500 MB /   0.90 sec =   39.4555 Mbps
    4.7500 MB /   1.00 sec =   39.8835 Mbps
    5.8750 MB /   1.22 sec =   40.3796 Mbps
    3.6875 MB /   0.78 sec =   39.6597 Mbps
    4.8125 MB /   1.00 sec =   40.3650 Mbps
    9.5000 MB /   1.99 sec =   40.0154 Mbps
    0.0000 MB /   0.01 sec =    0.0000 Mbps
    6.6875 MB /   1.40 sec =   39.9548 Mbps
    2.8750 MB /   0.60 sec =   40.4479 Mbps
    5.1250 MB /   1.08 sec =   39.7782 Mbps
    4.4375 MB /   0.92 sec =   40.3301 Mbps
    4.7500 MB /   1.00 sec =   39.9153 Mbps
    4.7500 MB /   1.00 sec =   39.9757 Mbps
    5.3750 MB /   1.13 sec =   39.7275 Mbps
    6.2500 MB /   1.31 sec =   40.1572 Mbps
    3.0625 MB /   0.64 sec =   39.8734 Mbps
    4.3750 MB /   0.92 sec =   40.0067 Mbps
    4.9375 MB /   1.03 sec =   40.0887 Mbps
    4.5625 MB /   0.96 sec =   39.6716 Mbps
    5.9375 MB /   1.24 sec =   40.1462 Mbps
    3.6250 MB /   0.76 sec =   40.0001 Mbps
    4.8125 MB /   1.00 sec =   40.2251 Mbps
    4.7500 MB /   1.00 sec =   39.8794 Mbps
    4.6875 MB /   1.00 sec =   39.3519 Mbps
    4.8125 MB /   1.00 sec =   40.3978 Mbps
    4.8125 MB /   1.00 sec =   40.3942 Mbps
    4.8125 MB /   1.01 sec =   40.1243 Mbps
    4.7500 MB /   1.00 sec =   39.8341 Mbps
    4.6875 MB /   0.99 sec =   39.5802 Mbps
    4.8125 MB /   1.01 sec =   40.1274 Mbps
    4.7500 MB /   0.99 sec =   40.1099 Mbps
    4.8125 MB /   1.00 sec =   40.2911 Mbps
    4.7500 MB /   1.00 sec =   39.9528 Mbps
    5.6875 MB /   1.19 sec =   39.9901 Mbps
    3.8750 MB /   0.81 sec =   40.0379 Mbps
    4.7500 MB /   1.00 sec =   39.8801 Mbps
    4.7500 MB /   1.00 sec =   39.8796 Mbps
    4.9375 MB /   1.04 sec =   39.9419 Mbps
    4.6250 MB /   0.96 sec =   40.3530 Mbps
    8.1875 MB /   1.73 sec =   39.7860 Mbps
    1.3125 MB /   0.28 sec =   40.0205 Mbps
    4.8125 MB /   1.00 sec =   40.3635 Mbps
    4.7500 MB /   1.00 sec =   39.9166 Mbps
    7.4375 MB /   1.56 sec =   39.9140 Mbps
    2.0625 MB /   0.44 sec =   39.6499 Mbps
    4.8125 MB /   1.00 sec =   40.3951 Mbps
    4.7500 MB /   1.00 sec =   39.7600 Mbps
    4.7500 MB /   1.00 sec =   39.9151 Mbps
    4.7500 MB /   1.00 sec =   39.8406 Mbps
    4.8125 MB /   1.00 sec =   40.3804 Mbps
    4.7500 MB /   1.00 sec =   39.7160 Mbps
    4.7500 MB /   1.00 sec =   39.9157 Mbps
    5.0625 MB /   1.06 sec =   40.0822 Mbps
    5.8125 MB /   1.21 sec =   40.1419 Mbps
    3.4375 MB /   0.73 sec =   39.7544 Mbps
    4.8125 MB /   1.00 sec =   40.2053 Mbps
    4.7500 MB /   1.00 sec =   39.8524 Mbps
    4.8125 MB /   1.00 sec =   40.2463 Mbps
    6.1875 MB /   1.30 sec =   40.0776 Mbps
    3.3125 MB /   0.70 sec =   39.7053 Mbps
    4.7500 MB /   1.00 sec =   39.7777 Mbps
    5.0000 MB /   1.05 sec =   40.0492 Mbps
    4.5000 MB /   0.95 sec =   39.8417 Mbps
    4.8125 MB /   1.00 sec =   40.2243 Mbps
    4.7500 MB /   1.00 sec =   39.8744 Mbps
    5.8125 MB /   1.21 sec =   40.2546 Mbps
