   13.5625 MB /   1.18 sec =   96.4296 Mbps
   10.0625 MB /   0.82 sec =  102.8376 Mbps
   12.0000 MB /   1.00 sec =  100.2050 Mbps
   11.8125 MB /   1.00 sec =   99.4863 Mbps
   12.0625 MB /   1.00 sec =  101.1235 Mbps
   12.0000 MB /   1.00 sec =  100.2779 Mbps
   11.8750 MB /   1.00 sec =   99.7214 Mbps
   11.9375 MB /   1.00 sec =   99.8875 Mbps
   11.8125 MB /   0.99 sec =   99.7416 Mbps
   12.0000 MB /   1.00 sec =  100.5932 Mbps
   11.6875 MB /   1.01 sec =   97.5097 Mbps
   12.1875 MB /   1.00 sec =  102.6817 Mbps
   11.6875 MB /   1.00 sec =   98.1904 Mbps
   12.1250 MB /   1.01 sec =  100.9582 Mbps
   11.9375 MB /   1.02 sec =   98.6253 Mbps
   11.9375 MB /   0.99 sec =  101.1484 Mbps
   11.8750 MB /   0.99 sec =  100.9749 Mbps
   11.9375 MB /   1.00 sec =   99.8933 Mbps
   11.6875 MB /   1.00 sec =   98.2629 Mbps
   12.1250 MB /   1.00 sec =  101.6051 Mbps
   11.8750 MB /   1.00 sec =   99.5111 Mbps
   12.0625 MB /   1.00 sec =  101.2303 Mbps
   11.9375 MB /   1.00 sec =  100.3199 Mbps
   11.8750 MB /   1.00 sec =   99.2940 Mbps
   11.9375 MB /   1.00 sec =  100.4487 Mbps
   11.9375 MB /   1.00 sec =   99.9932 Mbps
   11.8125 MB /   1.00 sec =   99.2119 Mbps
   12.0625 MB /   1.01 sec =  100.4084 Mbps
   11.9375 MB /   1.01 sec =   99.5522 Mbps
   11.6875 MB /   0.99 sec =   98.8037 Mbps
   11.9375 MB /   0.99 sec =  100.7573 Mbps
   11.8750 MB /   1.00 sec =   99.5411 Mbps
   11.4375 MB /   1.00 sec =   95.7834 Mbps
   12.3750 MB /   1.00 sec =  103.9804 Mbps
   12.1250 MB /   1.00 sec =  101.6326 Mbps
   11.6875 MB /   1.01 sec =   97.3688 Mbps
   12.1875 MB /   0.99 sec =  103.1123 Mbps
   11.6250 MB /   1.00 sec =   97.5247 Mbps
   12.2500 MB /   1.00 sec =  102.7696 Mbps
   11.9375 MB /   1.00 sec =   99.6456 Mbps
   11.8750 MB /   1.01 sec =   99.1055 Mbps
   11.5625 MB /   0.99 sec =   97.9362 Mbps
   12.1250 MB /   1.00 sec =  101.4790 Mbps
   12.0625 MB /   1.00 sec =  100.9947 Mbps
   11.8750 MB /   1.01 sec =   98.4345 Mbps
   11.7500 MB /   0.98 sec =  100.1137 Mbps
   12.1250 MB /   1.01 sec =  100.5774 Mbps
   11.6250 MB /   0.99 sec =   98.7574 Mbps
   12.1875 MB /   1.00 sec =  102.1781 Mbps
   11.8125 MB /   1.00 sec =   98.8918 Mbps
   11.9375 MB /   1.00 sec =  100.3820 Mbps
   12.0000 MB /   1.00 sec =  100.6470 Mbps
   12.0000 MB /   1.01 sec =   99.5968 Mbps
   11.8125 MB /   0.99 sec =  100.0220 Mbps
   11.8750 MB /   1.00 sec =   99.5957 Mbps
   11.9375 MB /   1.00 sec =  100.2484 Mbps
   11.7500 MB /   1.00 sec =   98.5333 Mbps
   11.6875 MB /   1.01 sec =   97.4937 Mbps
   12.3125 MB /   1.00 sec =  103.1161 Mbps
   11.8750 MB /   0.99 sec =  100.4177 Mbps
   11.9375 MB /   1.00 sec =  100.0485 Mbps
   12.0625 MB /   1.00 sec =  101.1338 Mbps
   11.8750 MB /   1.01 sec =   98.2172 Mbps
   11.7500 MB /   0.99 sec =  100.0296 Mbps
   12.0625 MB /   1.01 sec =  100.4778 Mbps
   12.0625 MB /   0.99 sec =  102.0671 Mbps
   11.6875 MB /   1.00 sec =   97.9628 Mbps
   11.9375 MB /   1.00 sec =   99.7634 Mbps
   12.0000 MB /   1.00 sec =  100.9351 Mbps
   12.0000 MB /   1.00 sec =  100.3628 Mbps
   11.8750 MB /   1.00 sec =   99.4366 Mbps
   11.8125 MB /   0.99 sec =   99.7083 Mbps
   12.0000 MB /   1.00 sec =  100.6818 Mbps
   12.0000 MB /   1.01 sec =   99.4619 Mbps
   11.7500 MB /   0.99 sec =   99.6692 Mbps
   11.7500 MB /   1.01 sec =   97.8919 Mbps
   12.1250 MB /   1.00 sec =  101.8970 Mbps
   12.1250 MB /   0.99 sec =  102.2266 Mbps
   11.6250 MB /   1.00 sec =   97.2963 Mbps
   12.1250 MB /   1.00 sec =  101.3073 Mbps
   11.8750 MB /   1.00 sec =  100.0208 Mbps
   12.0000 MB /   1.00 sec =  100.5169 Mbps
   11.8125 MB /   1.00 sec =   99.5274 Mbps
   12.0625 MB /   1.00 sec =  101.0792 Mbps
   11.8125 MB /   1.00 sec =   99.2259 Mbps
   11.9375 MB /   1.00 sec =  100.1290 Mbps
   12.0000 MB /   1.01 sec =   99.7701 Mbps
   11.5625 MB /   1.00 sec =   96.5122 Mbps
   12.1250 MB /   0.99 sec =  102.3324 Mbps
   11.8750 MB /   0.99 sec =  100.2727 Mbps
   12.0000 MB /   1.00 sec =  100.6803 Mbps
   12.0000 MB /   1.01 sec =   99.9753 Mbps
   11.7500 MB /   0.99 sec =   99.3551 Mbps
   12.0000 MB /   1.00 sec =  100.6083 Mbps
   11.8125 MB /   1.00 sec =   98.6320 Mbps
   12.1250 MB /   0.99 sec =  102.2643 Mbps
   11.9375 MB /   1.00 sec =   99.7486 Mbps
   11.7500 MB /   1.00 sec =   98.7352 Mbps
   12.0625 MB /   1.00 sec =  101.3336 Mbps
   11.8125 MB /   1.01 sec =   98.2322 Mbps
   11.9375 MB /   1.00 sec =  100.1282 Mbps
